rank,junction_name,police_station,impact_score_norm,priority_tier,recommended_officers,peak_window,peak_window_pct,violation_count,night_ratio,weighted_violations,est_daily_minutes_recovered
30,No Junction,Malleshwaram,65.0,High,2,02:00–04:00,29.9,1988,68.2,2791.5,8.0
31,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,64.4,High,2,21:00–23:00,45.8,1208,23.3,2851.5,13.0
32,No Junction,K.R. Pura,63.0,High,2,18:00–20:00,34.3,1450,26.7,2959.5,10.0
33,No Junction,Shivajinagar,62.7,High,2,04:00–06:00,33.9,1824,66.7,2261.0,8.0
34,No Junction,HAL Old Airport,62.7,High,2,02:00–04:00,39.7,1528,71.3,2707.0,11.0
35,"BTP182 - 19th Main Junction, Rajajinagar",Malleshwaram,62.3,High,2,02:00–04:00,37.7,1390,80.4,1884.5,7.0
36,No Junction,Malleshwaram,61.6,High,2,04:00–06:00,39.8,1534,76.1,2340.5,9.0
37,No Junction,Malleshwaram,60.1,High,2,04:00–06:00,44.4,1301,76.9,2245.0,10.0
38,No Junction,HAL Old Airport,59.7,High,1,22:00–00:00,28.1,1147,61.4,2438.0,7.0
39,No Junction,Shivajinagar,59.4,High,1,04:00–06:00,47.3,1283,76.8,2099.5,10.0
40,BTP074 - Leprosy Hospital Junction,Magadi Road,59.3,High,1,21:00–23:00,25.2,1047,45.0,1678.5,4.0
41,No Junction,Bellandur,59.2,High,1,20:00–22:00,40.6,965,34.0,2706.5,11.0
42,"BTP026 - 1st Block Junction, Rajajinagar",Malleshwaram,59.1,High,1,02:00–04:00,43.9,1086,84.5,1584.0,7.0
43,No Junction,Electronic City,59.1,High,1,07:00–09:00,59.1,1271,19.0,2035.5,12.0
44,BTP008 - Navarang Theatre,Malleshwaram,59.0,High,1,01:00–03:00,29.3,1190,73.3,1427.5,4.0
45,BTP063 - Siddalingaiah Circle,Cubbon Park,58.9,High,1,05:00–07:00,27.7,1060,60.4,1570.0,4.0
46,BTP135 - UCO Bank Junction,Adugodi,58.8,High,1,05:00–07:00,22.1,1112,45.7,1493.5,3.0
47,BTP096 - Gali Anjaneya Temple,Byatarayanapura,58.8,High,1,19:00–21:00,22.1,972,30.0,1704.5,4.0
48,No Junction,HAL Old Airport,58.7,High,1,02:00–04:00,50.6,1075,79.9,2272.0,11.0
49,BTP069 - MC Circle,Vijayanagara,58.5,High,1,04:00–06:00,25.2,1075,52.5,1484.0,4.0
50,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara,58.4,High,1,04:00–06:00,29.3,1157,57.1,1358.5,4.0
