merge_key,violation_count,weighted_violations,center_lat,center_lon,police_station,junction_name,night_count,night_ratio,zone_criticality,recurrence_rate,impact_score,impact_score_log,impact_score_norm,rank,priority_tier
Malleshwaram_13.011000000000001_77.553,2809,4595.0,13.01189744218583,77.55335019362762,Malleshwaram,No Junction,1965,70.0,2,7.794,71626.86,11.179239383411824,71.4,18,High
"BTP016 - 5th Main Road, RPC Layout",2474,3112.0,12.965246043934675,77.5378432820211,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",950,38.4,3,6.865,64091.64,11.068084815723548,70.5,19,High
BTP038 - Mysore Bank Junction,2021,3715.0,12.973430411726868,77.58124380880751,Upparpet,BTP038 - Mysore Bank Junction,1320,65.3,3,5.608,62501.16,11.04295639512731,70.4,20,High
BTP043 - Upparpet Junction,1786,3878.0,12.971139927984629,77.57557195804274,City Market,BTP043 - Upparpet Junction,1171,65.6,3,4.956,57658.1,10.962303362329681,69.7,21,High
BTP104 - Medical College Circle,1508,4475.0,12.959562748076925,77.57661357181698,City Market,BTP104 - Medical College Circle,605,40.1,3,4.184,56170.2,10.936159449015564,69.5,22,High
K.R. Pura_13.008000000000001_77.694,2307,4143.0,13.00826703786988,77.69466574604868,K.R. Pura,No Junction,444,19.2,2,6.401,53038.69,10.878795780197114,69.1,23,High
"BTP070 - Cholurpalya Junction, Magadi Road",2272,2539.5,12.973484256997908,77.550805919489,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",1195,52.6,3,6.304,48027.02,10.779539869574275,68.3,24,High
Hebbala_13.035_77.589,2462,3359.0,13.035318506048103,77.58906777259952,Hebbala,No Junction,1164,47.3,2,6.831,45890.66,10.734038680192905,68.0,25,High
BTP023 - Mahalaxmi Layout Entrance,1807,2921.5,13.008974449496067,77.54920543394422,Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,1304,72.2,3,5.014,43945.2,10.690721437486769,67.7,26,High
BTP048 - Shanthala Junction,1593,3065.5,12.976960576691845,77.57075523407478,Chamarajpet,BTP048 - Shanthala Junction,751,47.1,3,4.42,40648.53,10.612742552793494,67.1,27,High
BTP042 - Minsk Square Junction (CTO),2044,2174.5,12.981175736986302,77.59845689202544,Shivajinagar,BTP042 - Minsk Square Junction (CTO),1036,50.7,3,5.672,37001.29,10.51873508160303,66.4,28,High
BTP108 - Tagore Park Junction,1801,2262.5,12.943901209259396,77.57143116315804,Basavanagudi,BTP108 - Tagore Park Junction,872,48.4,3,4.997,33917.14,10.431705253496691,65.7,29,High
Malleshwaram_13.008000000000001_77.571,1988,2791.5,13.007803398943661,77.57099774909456,Malleshwaram,No Junction,1356,68.2,2,5.516,30795.83,10.335167041586903,65.0,30,High
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1208,2851.5,12.993694996696341,77.55379199356938,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",282,23.3,3,3.352,28674.68,10.263804655753015,64.4,31,High
K.R. Pura_13.008000000000001_77.697,1450,2959.5,13.008300845862069,77.69598429331035,K.R. Pura,No Junction,387,26.7,2,4.023,23812.14,10.077992808148306,63.0,32,High
Shivajinagar_12.984_77.61,1824,2261.0,12.983086872368421,77.61029757741228,Shivajinagar,No Junction,1216,66.7,2,5.061,22885.84,10.038317351865725,62.7,33,High
HAL Old Airport_12.939_77.697,1528,2707.0,12.939369627860287,77.69615244409674,HAL Old Airport,No Junction,1089,71.3,2,4.24,22955.36,10.041350301279884,62.7,34,High
"BTP182 - 19th Main Junction, Rajajinagar",1390,1884.5,12.99900715064247,77.5508516759733,Malleshwaram,"BTP182 - 19th Main Junction, Rajajinagar",1118,80.4,3,3.857,21805.55,9.989965662364096,62.3,35,High
Malleshwaram_12.999_77.571,1534,2340.5,12.99930529646146,77.57120882465078,Malleshwaram,No Junction,1167,76.1,2,4.256,19922.34,9.899647187766162,61.6,36,High
Malleshwaram_13.011000000000001_77.556,1301,2245.0,13.011248069177556,77.55459808754804,Malleshwaram,No Junction,1000,76.9,2,3.61,16208.9,9.69337744567923,60.1,37,High
HAL Old Airport_12.966000000000001_77.718,1147,2438.0,12.965354002092415,77.71802767183958,HAL Old Airport,No Junction,704,61.4,2,3.183,15520.31,9.649969197391616,59.7,38,High
Shivajinagar_12.981_77.613,1283,2099.5,12.981110997583787,77.61298804216679,Shivajinagar,No Junction,985,76.8,2,3.56,14948.44,9.612429119923277,59.4,39,High
BTP074 - Leprosy Hospital Junction,1047,1678.5,12.975846885138832,77.56179568138215,Magadi Road,BTP074 - Leprosy Hospital Junction,471,45.0,3,2.905,14628.13,9.590770025397006,59.3,40,High
Bellandur_12.927_77.679,965,2706.5,12.927309357661718,77.67944879398738,Bellandur,No Junction,328,34.0,2,2.678,14496.01,9.581697700248549,59.2,41,High
"BTP026 - 1st Block Junction, Rajajinagar",1086,1584.0,13.002439084069982,77.55009351215469,Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",918,84.5,3,3.013,14317.78,9.569327241354564,59.1,42,High
Electronic City_12.843_77.646,1271,2035.5,12.841822802596381,77.64597194303697,Electronic City,No Junction,241,19.0,2,3.527,14358.42,9.572161451814374,59.1,43,High
BTP008 - Navarang Theatre,1190,1427.5,12.998492417815125,77.55309264941177,Malleshwaram,BTP008 - Navarang Theatre,872,73.3,3,3.302,14140.82,9.55689164403906,59.0,44,High
BTP063 - Siddalingaiah Circle,1060,1570.0,12.971526511981132,77.5967034683019,Cubbon Park,BTP063 - Siddalingaiah Circle,640,60.4,3,2.941,13852.11,9.536265035144652,58.9,45,High
BTP135 - UCO Bank Junction,1112,1493.5,12.935621750629496,77.61497794019785,Adugodi,BTP135 - UCO Bank Junction,508,45.7,3,3.085,13822.34,9.534113746848545,58.8,46,High
BTP096 - Gali Anjaneya Temple,972,1704.5,12.952594812896978,77.54121609195656,Byatarayanapura,BTP096 - Gali Anjaneya Temple,292,30.0,3,2.697,13791.11,9.53185196850972,58.8,47,High
HAL Old Airport_12.93_77.685,1075,2272.0,12.930342298829938,77.68536149900608,HAL Old Airport,No Junction,859,79.9,2,2.983,13554.75,9.514566090538592,58.7,48,High
BTP069 - MC Circle,1075,1484.0,12.974620575358045,77.54751794417268,Vijayanagara,BTP069 - MC Circle,564,52.5,3,2.983,13280.32,9.494113815681173,58.5,49,High
"BTP022 - Marenahalli Junction, Vijayanagar",1157,1358.5,12.968779866920466,77.53673460275871,Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",661,57.1,3,3.21,13082.36,9.479096472756929,58.4,50,High
BTP010 - Rajajinagar Entrance,957,1548.0,12.982261563097772,77.56008112329171,Magadi Road,BTP010 - Rajajinagar Entrance,499,52.1,3,2.655,12329.82,9.419857098407732,58.0,51,High
BTP205 - Modi Hospital Junction,1045,1407.5,12.997488303320912,77.54695407575124,Vijayanagara,BTP205 - Modi Hospital Junction,633,60.6,3,2.9,12245.25,9.412975046658852,57.9,52,High
BTP061 - Bhashyam Circle,1030,1390.0,12.985184338307276,77.55392274871211,Rajajinagar,BTP061 - Bhashyam Circle,630,61.2,3,2.858,11917.86,9.385877298461883,57.7,53,High
HAL Old Airport_12.951_77.7,1065,2001.0,12.950725152884306,77.69979961661241,HAL Old Airport,No Junction,172,16.2,2,2.955,11825.91,9.37813272251556,57.7,54,High
HAL Old Airport_12.936_77.691,1111,1813.5,12.935544101522014,77.69102513897305,HAL Old Airport,No Junction,319,28.7,2,3.083,11182.04,9.322153623879522,57.2,55,High
Malleshwaram_13.005_77.571,1119,1692.0,13.00563398945487,77.57095047238606,Malleshwaram,No Junction,796,71.1,2,3.105,10507.32,9.259922603329947,56.8,56,High
Chikkajala_13.191_77.646,939,1996.5,13.191237390181044,77.64621057289669,Chikkajala,No Junction,309,32.9,2,2.605,10401.76,9.249826434536581,56.7,57,High
Jeevanbheemanagar_12.972_77.658,1218,1548.5,12.971749822553775,77.65808480741383,Jeevanbheemanagar,No Junction,775,63.6,2,3.38,10467.86,9.25616041541496,56.7,58,High
HAL Old Airport_12.933_77.688,924,1831.5,12.932594292787334,77.68835349163632,HAL Old Airport,No Junction,726,78.6,2,2.564,9391.93,9.147712557608607,55.9,59,High
K.R. Pura_13.005_77.685,1067,1521.5,13.005537415820422,77.68550766244577,K.R. Pura,No Junction,517,48.5,2,2.961,9010.32,9.10623684375631,55.6,60,High
"BTP148 - 17th Main, Doopanahalli Bus Stop",745,1312.5,12.963663511161307,77.64223399413451,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",380,51.0,3,2.067,8138.81,9.004522117200827,54.8,61,High
BTP054 - Shivananda Circle,751,1224.5,12.986267004491276,77.57886273319414,High ground,BTP054 - Shivananda Circle,494,65.8,3,2.084,7655.57,8.94331938177208,54.3,62,High
"BTP095 - Satellite Bus Stand, Mysore Road",775,1151.5,12.953825250666533,77.54339804607628,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",333,43.0,3,2.15,7427.17,8.913034808586582,54.1,63,High
BTP208 - Havanur Circle,812,1086.0,12.987954160845806,77.53755577344506,Vijayanagara,BTP208 - Havanur Circle,480,59.1,3,2.253,7340.27,8.901267131164706,54.0,64,High
BTP118 - Basappa Circle,653,1318.0,12.958166349617152,77.57756666983154,City Market,BTP118 - Basappa Circle,278,42.6,3,1.812,7164.65,8.87705405491938,53.8,65,High
"BTP170 - Dr. Bheem Rao Palace, Chord Road",573,1475.0,12.99037199306623,77.551225814101,Rajajinagar,"BTP170 - Dr. Bheem Rao Palace, Chord Road",199,34.7,3,1.59,7035.75,8.858901694832698,53.7,66,High
Mahadevapura_12.996_77.697,814,1531.5,12.995265365762219,77.69657976577588,Mahadevapura,No Junction,490,60.2,2,2.259,6919.32,8.842217290317118,53.6,67,High
"BTP204 - ESI Hospital, Rajajinagar",638,1271.5,12.990358886677116,77.55373500799372,Rajajinagar,"BTP204 - ESI Hospital, Rajajinagar",150,23.5,3,1.77,6751.66,8.817691780313854,53.4,68,High
HSR Layout_12.906_77.631,713,1678.0,12.906298675275014,77.63065182246986,HSR Layout,No Junction,134,18.8,2,1.978,6638.17,8.800742234657328,53.3,69,High
BTP028 - Vijayanagar Bus Stand Junction,754,1048.0,12.972568562228885,77.53806133053999,Vijayanagara,BTP028 - Vijayanagar Bus Stand Junction,432,57.3,3,2.092,6577.25,8.7915240314996,53.2,70,High
HAL Old Airport_12.957_77.7,989,1172.0,12.957449073292551,77.70094444129371,HAL Old Airport,No Junction,512,51.8,2,2.744,6431.94,8.769186944459374,53.0,71,High
HSR Layout_12.912_77.637,984,1117.5,12.911833828074545,77.63756746476953,HSR Layout,No Junction,377,38.3,2,2.73,6101.55,8.716461995596925,52.6,72,High
BTP137 - Madiwala Traffic PS Junction,596,1216.0,12.92332618796038,77.6198709011831,Madiwala,BTP137 - Madiwala Traffic PS Junction,195,32.7,3,1.654,6033.79,8.705296335908804,52.5,73,High
City Market_12.969_77.577,802,1336.0,12.969654106537124,77.57576470050965,City Market,No Junction,565,70.4,2,2.225,5945.2,8.690507639050217,52.4,74,High
BTP172 - Nanjappa Circle,776,905.0,12.961702129381443,77.59948909484535,Ashok Nagar,BTP172 - Nanjappa Circle,406,52.3,3,2.153,5845.4,8.673581366183688,52.3,75,High
HAL Old Airport_12.963000000000001_77.718,616,1709.5,12.963394990584415,77.7174810064935,HAL Old Airport,No Junction,307,49.8,2,1.709,5843.07,8.673182750896046,52.3,76,High
Kodigehalli_13.047_77.577,849,1220.5,13.04750941319199,77.57610847644288,Kodigehalli,No Junction,338,39.8,2,2.356,5751.0,8.657302899400882,52.2,77,High
"BTP206 - Shankara Mutt Circle, Vijayanagar",719,957.5,12.998620176634214,77.54142142920723,Vijayanagara,"BTP206 - Shankara Mutt Circle, Vijayanagar",467,65.0,3,1.995,5730.64,8.653756981672167,52.1,78,High
"BTP024 - NPS, Vijayanagar",632,1068.0,12.98291347845193,77.54882366500652,Magadi Road,"BTP024 - NPS, Vijayanagar",291,46.0,3,1.754,5619.82,8.634232839717587,52.0,79,High
BTP071 - Prasanna Junction,721,935.0,12.974369503954971,77.55203424621543,Magadi Road,BTP071 - Prasanna Junction,360,49.9,3,2.001,5612.8,8.632983131064577,52.0,80,Medium
Malleshwaram_12.996_77.571,818,1223.5,12.995776135330074,77.57135541259169,Malleshwaram,No Junction,711,86.9,2,2.27,5554.69,8.622577906781249,51.9,81,Medium
Pulikeshinagar(F.Town)_12.996_77.613,924,1063.5,12.99590124448052,77.61364023246753,Pulikeshinagar(F.Town),No Junction,110,11.9,2,2.564,5453.63,8.604220068285743,51.8,82,Medium
BTP192 - Urvashi Theater,625,988.5,12.95650754928,77.58603276544001,Wilson Garden,BTP192 - Urvashi Theater,327,52.3,3,1.734,5142.18,8.545426844190269,51.3,83,Medium
HSR Layout_12.912_77.634,903,980.0,12.912514352504282,77.63443805920384,HSR Layout,No Junction,200,22.1,2,2.506,4911.76,8.499591180985625,51.0,84,Medium
Bellandur_12.927_77.676,616,1417.5,12.92607192299207,77.6765587843881,Bellandur,No Junction,273,44.3,2,1.709,4845.02,8.4859130284831,50.9,85,Medium
Halasur_12.972_77.616,620,1411.0,12.97305414483871,77.61583261709677,Halasur,No Junction,204,32.9,2,1.72,4853.84,8.487731424466617,50.9,86,Medium
Malleshwaram_13.005_77.568,807,1044.0,13.005448650805452,77.56886304027262,Malleshwaram,No Junction,461,57.1,2,2.239,4675.03,8.450204738311326,50.6,87,Medium
Malleshwaram_12.999_77.568,710,1145.5,12.999050791690141,77.56926996929577,Malleshwaram,No Junction,533,75.1,2,1.97,4513.27,8.414998769500974,50.3,88,Medium
Magadi Road_12.975_77.559,859,946.0,12.975736943640971,77.55888079887859,Magadi Road,No Junction,367,42.7,2,2.383,4508.64,8.41397260669432,50.3,89,Medium
Jeevanbheemanagar_12.96_77.646,514,1557.0,12.959441966758362,77.64565152309015,Jeevanbheemanagar,No Junction,222,43.2,2,1.426,4440.56,8.39876094506819,50.2,90,Medium
Mahadevapura_12.996_77.67,622,1269.0,12.99637835567649,77.66898385854671,Mahadevapura,No Junction,305,49.0,2,1.726,4380.59,8.385166951195592,50.1,91,Medium
Mahadevapura_12.999_77.676,654,1169.0,13.000088897195157,77.67689863293262,Mahadevapura,No Junction,334,51.1,2,1.815,4243.47,8.35337223818273,49.8,92,Medium
BTP130 - GD Mara Junction,631,737.5,12.908069876703646,77.60081684453249,Mico Layout,BTP130 - GD Mara Junction,443,70.2,3,1.751,3874.09,8.262324167324184,49.1,93,Medium
"BTP189 - New Diagonal Road, Jayanagar",602,748.0,12.928112280564784,77.58069761295681,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",376,62.5,3,1.67,3747.48,8.229105703461363,48.9,94,Medium
Kodigehalli_13.035_77.589,700,954.5,13.035318577070452,77.58890513841342,Kodigehalli,No Junction,277,39.6,2,1.942,3707.28,8.218323436240437,48.8,95,Medium
Jeevanbheemanagar_12.96_77.649,564,1162.5,12.959730283137063,77.64902301973027,Jeevanbheemanagar,No Junction,350,62.1,2,1.565,3638.62,8.19963455957679,48.7,96,Medium
"BTP123 - 10th Cross, Wilson Garden",535,796.0,12.94600243397952,77.59607296917757,Wilson Garden,"BTP123 - 10th Cross, Wilson Garden",254,47.5,3,1.484,3543.79,8.173234198847673,48.5,97,Medium
Halasur_12.972_77.619,637,967.0,12.971989178408785,77.61874076640774,Halasur,No Junction,239,37.5,2,1.767,3417.38,8.136922033622318,48.2,98,Medium
Jeevanbheemanagar_12.969_77.64,693,872.5,12.969679606304192,77.64082111443687,Jeevanbheemanagar,No Junction,511,73.7,2,1.923,3355.64,8.118695752623667,48.1,99,Medium
Mahadevapura_12.996_77.667,584,1003.0,12.99586813570965,77.66797421889004,Mahadevapura,No Junction,297,50.9,2,1.62,3249.72,8.086631789249301,47.8,100,Medium
Banaswadi_12.999_77.676,531,1057.5,13.000272108379454,77.67636191968188,Banaswadi,No Junction,230,43.3,2,1.473,3115.4,8.044433768456702,47.5,101,Medium
Rajajinagar_13.008000000000001_77.526,371,1439.0,13.00798516657682,77.52672995795149,Rajajinagar,No Junction,133,35.8,2,1.029,2961.46,7.9937752832425275,47.1,102,Medium
Mahadevapura_12.996_77.694,538,996.0,12.996005493668468,77.69430346889754,Mahadevapura,No Junction,294,54.6,2,1.493,2974.06,7.998019485843584,47.1,103,Medium
Malleshwaram_13.014000000000001_77.553,538,994.0,13.012885889591079,77.55407434553904,Malleshwaram,No Junction,281,52.2,2,1.493,2968.08,7.996007419500107,47.1,104,Medium
"BTP210 - 50th cross, 12th Main , Rajajinagar",455,770.0,12.986979151428573,77.55512463802198,Rajajinagar,"BTP210 - 50th cross, 12th Main , Rajajinagar",158,34.7,3,1.262,2915.22,7.978043536098843,47.0,105,Medium
"BTP226 - 33rd Cross, 11th Main, Jayanagar",492,697.5,12.925926613617886,77.58563274735774,Jayanagara,"BTP226 - 33rd Cross, 11th Main, Jayanagar",331,67.3,3,1.365,2856.26,7.957618402640338,46.8,106,Medium
"BTP186 - 9th Cross, 4th Main, Jayanagar",546,623.5,12.939329417176364,77.58299607614546,Wilson Garden,"BTP186 - 9th Cross, 4th Main, Jayanagar",216,39.6,3,1.515,2833.81,7.949730194515599,46.8,107,Medium
BTP068 - Veeresh Theatre Junction,504,667.5,12.977227481944444,77.54562137718254,Vijayanagara,BTP068 - Veeresh Theatre Junction,238,47.2,3,1.398,2799.5,7.937553251649887,46.7,108,Medium
Sheshadripuram_12.99_77.574,575,868.5,12.989926788347827,77.57378808017391,Sheshadripuram,No Junction,401,69.7,2,1.595,2770.52,7.92715118514268,46.6,109,Medium
BTP167 - JC Road Junction,372,857.0,12.9582712466602,77.58126169958715,City Market,BTP167 - JC Road Junction,221,59.4,3,1.032,2653.27,7.883924942950535,46.3,110,Medium
BTP215 - Vanivillas Junction,434,726.5,12.946120153483719,77.57023379090926,Basavanagudi,BTP215 - Vanivillas Junction,235,54.1,3,1.204,2624.12,7.872881888266572,46.2,111,Medium
HAL Old Airport_12.939_77.694,505,926.0,12.939594974793605,77.695106770237,HAL Old Airport,No Junction,290,57.4,2,1.401,2594.65,7.861592245930255,46.1,112,Medium
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",425,732.5,12.979911838377566,77.5546504141,Magadi Road,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",194,45.6,3,1.179,2590.85,7.86012718542724,46.1,113,Medium
Adugodi_12.933_77.631,600,759.0,12.932585474000001,77.63153823066666,Adugodi,No Junction,161,26.8,2,1.665,2527.47,7.8353696557077095,45.9,114,Medium
HAL Old Airport_12.972_77.712,476,951.0,12.97142807649139,77.71203132521423,HAL Old Airport,No Junction,143,30.0,2,1.321,2512.54,7.829447397070057,45.8,115,Medium
Kodigehalli_13.071_77.586,626,716.0,13.070512046166135,77.5870925741214,Kodigehalli,No Junction,359,57.3,2,1.737,2487.38,7.8193871753155255,45.8,116,Medium
HAL Old Airport_12.957_77.703,502,894.0,12.956875123395186,77.70284854391052,HAL Old Airport,No Junction,178,35.5,2,1.393,2490.68,7.820712460747028,45.8,117,Medium
Rajajinagar_13.017_77.532,412,1081.5,13.017341607038835,77.53149491868932,Rajajinagar,No Junction,144,35.0,2,1.143,2472.31,7.813312613486552,45.7,118,Medium
BTP076 - Hudson Circle,455,652.5,12.968029834285714,77.58880913494505,Halasuru Gate,BTP076 - Hudson Circle,236,51.9,3,1.262,2470.37,7.812527931727756,45.7,119,Medium
Bellandur_12.9_77.676,548,801.0,12.899663078102922,77.67545482303808,Bellandur,No Junction,245,44.7,2,1.521,2436.64,7.79878563712006,45.6,120,Medium
Malleshwaram_13.014000000000001_77.556,473,921.5,13.013661873934675,77.55485756151285,Malleshwaram,No Junction,241,51.0,2,1.312,2418.02,7.7911177784551375,45.6,121,Medium
Pulikeshinagar(F.Town)_12.999_77.61,574,756.0,12.999782225261324,77.61090943048781,Pulikeshinagar(F.Town),No Junction,125,21.8,2,1.593,2408.62,7.787224337703931,45.5,122,Medium
K.G. Halli_13.035_77.625,332,1305.0,13.034832176204821,77.62463741325301,K.G. Halli,No Junction,34,10.2,2,0.921,2403.81,7.78522617734003,45.5,123,Medium
Chikkajala_13.188_77.679,456,924.0,13.187083659429826,77.68026727872807,Chikkajala,No Junction,125,27.4,2,1.265,2337.72,7.757359050140982,45.3,124,Medium
BTP018 - Dhobi Ghat Junction,382,691.5,12.98761222696335,77.54981949005236,Vijayanagara,BTP018 - Dhobi Ghat Junction,177,46.3,3,1.06,2198.97,7.696199002889795,44.8,125,Medium
Electronic City_12.843_77.643,427,926.5,12.842410343243115,77.64419014990504,Electronic City,No Junction,88,20.6,2,1.185,2195.81,7.694761587079093,44.8,126,Medium
Yeshwanthpura_13.029_77.538,385,1009.0,13.029878104675324,77.53778828727272,Yeshwanthpura,No Junction,186,48.3,2,1.068,2155.22,7.676111967639404,44.7,127,Medium
Malleshwaram_13.008000000000001_77.556,593,651.5,13.008798195784149,77.55563216475548,Malleshwaram,No Junction,313,52.8,2,1.645,2143.44,7.67063372501575,44.6,128,Medium
BTP140 - Madiwala Check Post,368,686.5,12.932305598913045,77.6132812736413,Adugodi,BTP140 - Madiwala Check Post,118,32.1,3,1.021,2102.75,7.651476745505016,44.5,129,Medium
Malleshwaram_13.002_77.571,493,743.0,13.0014494,77.57116088458417,Malleshwaram,No Junction,347,70.4,2,1.368,2032.85,7.617685827576428,44.2,130,Medium
BTP067 - Jai Muni Rao Circle,409,580.0,12.978517780813087,77.54273679499191,Magadi Road,BTP067 - Jai Muni Rao Circle,230,56.2,3,1.135,1974.9,7.588779269739772,44.0,131,Medium
BTP136 - Hosur-Tavarkere Road Junction,360,652.0,12.93432707138889,77.60844668972223,Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,123,34.2,3,0.999,1954.04,7.578165932568212,43.9,132,Medium
HAL Old Airport_12.96_77.715,368,924.5,12.959466038586957,77.71599306929348,HAL Old Airport,No Junction,228,62.0,2,1.021,1887.83,7.5437128687455495,43.7,133,Medium
BTP126 - Dairy Circle,334,657.0,12.936743940419163,77.60242927844311,Mico Layout,BTP126 - Dairy Circle,194,58.1,3,0.927,1827.12,7.511043395373746,43.4,134,Medium
"BTP101 - Blood Bank Circle, KH Road",410,532.0,12.961947537560976,77.59617864317073,Ashok Nagar,"BTP101 - Blood Bank Circle, KH Road",41,10.0,3,1.138,1816.25,7.505079648364744,43.4,135,Medium
Jnanabharathi_12.96_77.511,450,729.0,12.960970099333334,77.51163546155556,Jnanabharathi,No Junction,133,29.6,2,1.249,1821.04,7.507712031475737,43.4,136,Medium
Mahadevapura_12.999_77.679,398,819.5,13.000383611502542,77.67777063629657,Mahadevapura,No Junction,135,33.9,2,1.104,1809.46,7.501336235617254,43.3,137,Medium
Sadashivanagar_13.029_77.574,449,688.0,13.027916946325167,77.57377803630288,Sadashivanagar,No Junction,187,41.6,2,1.246,1714.5,7.447459862298504,42.9,138,Medium
Shivajinagar_12.981_77.61,421,729.5,12.982296649643706,77.61063426508314,Shivajinagar,No Junction,248,58.9,2,1.168,1704.11,7.441384903765574,42.9,139,Medium
BTP017 - Attiguppe Circle,422,481.5,12.960583327014218,77.52963757037915,Byatarayanapura,BTP017 - Attiguppe Circle,112,26.5,3,1.171,1691.51,7.433967913188473,42.8,140,Medium
Banaswadi_12.993_77.664,496,595.0,12.993866059100766,77.6632794503745,Banaswadi,No Junction,128,25.8,2,1.376,1637.44,7.40149984860967,42.6,141,Medium
"BTP099 - Cash Pharmacy, Residency Road",349,547.0,12.969120946131804,77.60030236275072,Ashok Nagar,"BTP099 - Cash Pharmacy, Residency Road",216,61.9,3,0.968,1588.49,7.371168489044499,42.4,142,Medium
Pulikeshinagar(F.Town)_12.996_77.61,432,666.5,12.995720052083334,77.61042731134259,Pulikeshinagar(F.Town),No Junction,32,7.4,2,1.199,1598.27,7.377302554114173,42.4,143,Medium
Shivajinagar_12.99_77.601,343,805.0,12.990250341690963,77.60087011516035,Shivajinagar,No Junction,53,15.5,2,0.952,1532.72,7.335451435931623,42.1,144,Medium
BTP091 - Sirsi Circle,263,696.5,12.962208439163499,77.55862826692015,Magadi Road,BTP091 - Sirsi Circle,75,28.5,3,0.73,1525.34,7.3306279917453345,42.0,145,Medium
